id,title,artist,album,thumbnail,duration,related_videos,views,is_private,is_unlisted,category,publish_date,upload_date,length_seconds,is_family_safe,available_countries
qxsQe2EAk40,City Slums (feat. DIVINE),Raja Kumari,,https://i.ytimg.com/vi/qxsQe2EAk40/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3na4rY8GhUubKs4yQv0bd5x-88DCw,3:45,[],86844848,False,,Music,2017-10-03T23:29:22-07:00,2017-10-03T23:29:22-07:00,224,,249
FEvrFe7GWwQ,Roots (feat. Raja Kumari),DIVINE,,https://i.ytimg.com/vi/FEvrFe7GWwQ/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nmOe8LTEXB9Lq0z8-88bzOoHXncQ,2:44,[],9267272,False,,Music,2018-07-26T23:29:39-07:00,2018-07-26T23:29:39-07:00,164,,249
ZYu7LcHi84M,Mere Bhole Baba,Pardhaan,,https://i.ytimg.com/vi/ZYu7LcHi84M/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3n_1RrcT5ZbxmbXfMIgP0OF4KSA5g,3:55,[],13561347,False,,Music,2018-02-10T21:30:01-08:00,2018-02-10T21:30:01-08:00,234,,249
KgfKTfJ70zI,Don't Hold Back 2.0 by JACK & JONES FT. Ranveer Singh & Gang,JACK & JONES India,,https://i.ytimg.com/vi/KgfKTfJ70zI/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lqlLnMNwF1dJb2RmZZOuLsQiHlrQ,3:00,[],13116755,False,,Music,2017-05-18T17:15:34-07:00,2017-05-18T17:15:34-07:00,180,,249
NU3xm6N7tzw,Kaam 25,DIVINE,,https://i.ytimg.com/vi/NU3xm6N7tzw/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kvbiCq76UjB499GFGWPJ4Wm-m5Cg,2:42,[],96036911,False,,Music,2018-06-14T22:30:02-07:00,2018-06-14T22:30:02-07:00,161,,249
qnho3ov1VGk,Wata,MC STAN,,https://i.ytimg.com/vi/qnho3ov1VGk/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nyzRQ8b513qzdXcJcDqDVRiXopzg,3:23,[],27633944,False,,Music,2018-08-08T01:30:02-07:00,2018-08-08T01:30:02-07:00,203,,249
lJ5w2ht7KzI,EMIWAY-KAUN HU MEIN (OFFICIAL VIDEO),Emiway Bantai,,https://i.ytimg.com/vi/lJ5w2ht7KzI/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3leKCgktMPSa3RZ_E0sGbRtwll6YA,3:36,[],9260467,False,,Music,2018-06-29T12:42:40-07:00,2018-06-29T12:42:40-07:00,215,,249
-IC7qtfhFSw,Sadak,Emiway Bantai,,https://i.ytimg.com/vi/-IC7qtfhFSw/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lNjPc80PRQQ60fAkLjPctDkE6VRg,2:33,[],30562706,False,,Music,2017-11-12T10:30:14-08:00,2017-11-12T10:30:14-08:00,153,,249
9Wsi7YTI2nY,Jungli Sher,DIVINE,,https://i.ytimg.com/vi/9Wsi7YTI2nY/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kLx4yzBwliZTWAm5K4P4ektcr9lA,3:23,[],26022667,False,,Music,2016-03-24T21:00:13-07:00,2016-03-24T21:00:13-07:00,202,,249
qcoLCzhLZsI,Kadak Ban,Emiway Bantai,,https://i.ytimg.com/vi/qcoLCzhLZsI/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3n8cNSVw6f1BdT6dy2hUgq5ARjoJA,3:04,[],52660496,False,,Music,2018-07-27T02:13:42-07:00,2018-07-27T02:13:42-07:00,184,,249
1eU7FoXh364,EMIWAY- OUT OF SAMPARK (OFFICIAL MUSIC VIDEO),Emiway Bantai,,https://i.ytimg.com/vi/1eU7FoXh364/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lOQCVEfdDfEJQsm63rAFJ3ARLc1Q,5:14,[],81945518,False,,Music,2018-09-10T11:32:23-07:00,2018-09-10T11:32:23-07:00,314,,249
OqO2fu-NjnU,Mera Bhai Mera Bhai,Emiway Bantai,,https://i.ytimg.com/vi/OqO2fu-NjnU/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lfLO2MZZSfiaBw7pJVLtkmbb_lRQ,2:03,[],55468298,False,,Music,2018-01-26T00:30:09-08:00,2018-01-26T00:30:09-08:00,123,,249
5pDXISRe2Lo,EMIWAY-(AISA KUCH SHOT NAI HAI) (400037) (FULL MUSIC VIDEO),Emiway Bantai,,https://i.ytimg.com/vi/5pDXISRe2Lo/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lsdoTQdlx4yUzHrs_CmHOVNrfqQQ,3:19,[],19832486,False,,Music,2016-05-26T18:35:40-07:00,2016-05-26T18:35:40-07:00,198,,249
hDcOpQcqmuE,Tadak Padak,Emiway Bantai,,https://i.ytimg.com/vi/hDcOpQcqmuE/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mhqEjZyFagKxrWW_VyKDT6zgLnnQ,3:26,[],4995096,False,,Music,2016-08-27T21:32:37-07:00,2016-08-27T21:32:37-07:00,205,,249
