id,title,artist,album,thumbnail,popularity,length_seconds,release_year,language_encoded,sentiment_polarity,sentiment_subjectivity,category_encoded,genre_cluster,available_countries,related_videos,pca_emb_0,pca_emb_1,pca_emb_2,pca_emb_3,pca_emb_4,pca_emb_5,pca_emb_6,pca_emb_7,pca_emb_8,pca_emb_9,pca_emb_10,pca_emb_11,pca_emb_12,pca_emb_13,pca_emb_14,pca_emb_15,pca_emb_16,pca_emb_17,pca_emb_18,pca_emb_19,pca_emb_20,pca_emb_21,pca_emb_22,pca_emb_23,pca_emb_24,pca_emb_25,pca_emb_26,pca_emb_27,pca_emb_28,pca_emb_29,pca_emb_30,pca_emb_31,pca_emb_32,pca_emb_33,pca_emb_34,pca_emb_35,pca_emb_36,pca_emb_37,pca_emb_38,pca_emb_39,pca_emb_40,pca_emb_41,pca_emb_42,pca_emb_43,pca_emb_44,pca_emb_45,pca_emb_46,pca_emb_47,pca_emb_48,pca_emb_49,pca_emb_50,pca_emb_51,pca_emb_52,pca_emb_53,pca_emb_54,pca_emb_55,pca_emb_56,pca_emb_57,pca_emb_58,pca_emb_59,pca_emb_60,pca_emb_61,pca_emb_62,pca_emb_63
qxsQe2EAk40,City Slums (feat. DIVINE),Raja Kumari,Unknown,https://i.ytimg.com/vi/qxsQe2EAk40/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3na4rY8GhUubKs4yQv0bd5x-88DCw,18.279633739738816,224.0,2017.0,6,0.0,0.0,2,1,249,[],-0.095557414,0.14919883,0.038120516,-0.018937297,-0.11087784,0.012726931,0.114251524,-0.026513524,-0.1815218,0.04493969,0.050025336,-0.00031764113,-0.102654286,-0.06754911,-0.058084484,-0.012428117,0.06492431,-0.08159222,-0.09114521,0.0399357,-0.058382515,-0.057781953,0.018186545,-0.026936892,-0.07132905,-0.017634297,0.16597119,0.037925184,-0.044394556,0.009277929,-0.06571752,-0.033947974,-0.08326032,0.08961098,-0.0027346984,0.029303227,0.042871397,0.036038667,0.111055784,-0.052273218,-0.031744562,0.018437546,0.029126048,-0.060134336,-0.016384909,-0.02571904,0.09753288,0.011019936,-0.045027167,0.008553207,-0.021217946,-0.003402212,-0.021584108,0.057770405,0.001011439,-0.09198451,0.02593356,0.012378224,0.10802621,0.024659008,-0.010928016,-0.031890824,-0.0040226206,0.046575937
FEvrFe7GWwQ,Roots (feat. Raja Kumari),DIVINE,Unknown,https://i.ytimg.com/vi/FEvrFe7GWwQ/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nmOe8LTEXB9Lq0z8-88bzOoHXncQ,16.041999719506876,164.0,2018.0,8,0.0,0.0,2,1,249,[],0.010424418,0.18593736,-0.024010917,-0.09165875,-0.016088897,0.049039107,0.13443741,-0.06097867,-0.118614435,0.10571015,0.068950064,0.037279088,-0.012375163,0.015436934,0.002667686,-0.0061822645,0.045443162,-0.08906448,-0.04366185,-0.012297905,-0.06690208,-0.06346236,-0.10049616,-0.03961197,-0.06658304,0.03384617,0.066023245,0.09880564,-0.1024024,-0.05525447,-0.020049106,-0.029504128,-0.011282812,0.081005886,0.038734697,0.014487968,0.08787481,0.04924602,0.07745764,-0.032279696,-0.08297806,-0.023899077,-0.0146229435,-0.0040547,0.038393468,-0.016159847,0.013476559,0.057643548,0.009532782,-0.04088453,-0.036035877,-0.049406487,0.009999909,0.06657076,-0.050556924,-0.059382986,0.07066481,-0.0061058872,0.05060456,-0.02493896,-0.04047566,-0.025910558,0.042549234,-0.0053647896
ZYu7LcHi84M,Mere Bhole Baba,Pardhaan,Unknown,https://i.ytimg.com/vi/ZYu7LcHi84M/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3n_1RrcT5ZbxmbXfMIgP0OF4KSA5g,16.422734245565174,234.0,2018.0,6,-0.5,0.5,2,2,249,[],-0.26913673,-0.028225781,0.05723508,0.04908732,0.055233456,0.016264807,0.11342891,-0.024278289,0.022292737,0.14805728,-0.006359555,0.037112664,0.030168496,0.086153224,0.021315599,0.051180247,-0.03039212,0.015623433,0.038061358,-0.035759445,-0.04453293,-0.008398847,-0.1448829,-0.0040446213,-0.036670133,-0.012245743,0.03266581,0.051352188,0.07313219,-0.034128416,-0.06645112,0.050262082,-0.013867026,-0.032903127,0.04224427,-0.037085794,-0.021986097,0.008845087,-0.09417863,0.05749041,0.05708009,0.009990003,-0.061279513,-0.06269992,-0.026094334,-0.048783574,0.032457817,0.02341066,0.05274565,0.01227607,-0.04147152,-0.06343152,-0.017087055,0.062262934,-0.046697713,0.096363954,-0.009430816,0.009335821,-0.015393717,-0.011767445,-0.010683294,0.032494556,0.028866718,0.02297932
KgfKTfJ70zI,Don't Hold Back 2.0 by JACK & JONES FT. Ranveer Singh & Gang,JACK & JONES India,Unknown,https://i.ytimg.com/vi/KgfKTfJ70zI/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lqlLnMNwF1dJb2RmZZOuLsQiHlrQ,16.389401054809827,180.0,2017.0,6,0.0,0.0,2,1,249,[],0.10607819,0.20794661,-0.11595345,-0.02414656,-0.018030843,0.095619805,0.0061089215,-0.031003607,0.049760602,0.0227524,0.03881689,0.0831473,0.0057393345,0.0004267955,0.0051010004,0.0081060985,-0.028367095,0.060578056,0.10573846,0.12618013,0.075957306,0.062351253,0.099846795,0.049024574,-0.06445428,0.10758937,0.10363683,0.0026692655,-0.0020701902,0.08180212,0.0045953537,-0.0056363908,-0.016096057,0.025302695,0.09850282,0.0060562193,-0.0735427,0.049349453,0.04114827,-0.0141583355,-0.014951937,-0.055265702,0.09695193,0.08281195,0.027007246,0.03638181,-0.06666723,0.030249404,0.009398241,-0.096474275,0.011139223,0.014747084,0.043682113,0.02249736,0.012730067,-0.06185654,-0.08458827,-0.059387222,-0.128752,-0.08889988,-0.06603432,0.0113278795,-0.03894151,-0.028746335
NU3xm6N7tzw,Kaam 25,DIVINE,Unknown,https://i.ytimg.com/vi/NU3xm6N7tzw/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kvbiCq76UjB499GFGWPJ4Wm-m5Cg,18.38024317553093,161.0,2018.0,14,0.0,0.0,2,5,249,[],-0.20216012,-0.07470735,0.07976503,0.022489933,-0.021997038,0.047754087,0.16304296,-0.07096693,-0.097967625,0.11824492,0.0694845,0.00325501,-0.004915463,0.009064466,-0.05857227,-0.09089974,0.044689685,0.0034064504,0.012457319,-0.05735319,-0.011615666,-0.11957927,-0.05144641,-0.04696472,-0.022775287,-0.080740556,0.011806469,-0.03142084,-0.09681057,0.016866203,-0.09890348,0.01641208,0.097992465,-0.0026922012,-0.0048905844,0.041147374,-0.017649379,0.013927855,-0.038692906,-0.052215062,-0.11243655,0.06656292,0.046885367,0.03330081,-0.020067649,0.12261603,0.027324984,0.016266447,0.031336986,0.044527028,-0.03169235,0.07818787,0.02833087,0.015020067,0.0048007104,0.04112629,-0.03770408,-0.034930814,0.10888424,-0.015100026,0.028188994,0.045116436,-0.07757113,-0.023847852
qnho3ov1VGk,Wata,MC STAN,Unknown,https://i.ytimg.com/vi/qnho3ov1VGk/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nyzRQ8b513qzdXcJcDqDVRiXopzg,17.13455546629497,203.0,2018.0,26,0.0,0.0,2,2,249,[],-0.07068761,-0.073285356,-0.17071092,-0.007996275,0.1334484,0.07725428,-0.1564885,-0.13572532,-0.053027608,0.0059208674,0.15138678,-0.044760358,-0.00905099,-0.15254876,0.03793869,-0.00096383557,-0.07560785,0.0176324,-0.057916865,-0.052518122,-0.048369944,0.009303455,0.043946836,0.037980672,-0.07334898,0.026166849,-0.124482,0.021916077,-0.0012756132,0.0029915823,0.050982885,0.023120567,0.08448591,-0.015725369,-0.002682068,0.044673085,0.017634349,-0.010389193,-0.062567,0.037447646,-0.025445003,0.040955093,0.03438496,-0.07757782,0.076547205,-0.036984023,-0.00046849137,-0.0044823764,-0.08406605,-0.044609074,-0.094510294,0.05386043,0.073838905,-0.027110204,0.06575819,-0.046293136,-0.020430364,-0.06613067,-0.04922492,0.022660129,-0.027894158,0.04396661,-0.03846277,-0.0039512864
lJ5w2ht7KzI,EMIWAY-KAUN HU MEIN (OFFICIAL VIDEO),Emiway Bantai,Unknown,https://i.ytimg.com/vi/lJ5w2ht7KzI/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3leKCgktMPSa3RZ_E0sGbRtwll6YA,16.041265145302066,215.0,2018.0,5,0.0,0.0,2,1,249,[],-0.0010256929,0.24343401,-0.05768805,0.058433507,0.2780654,0.15989506,0.063530385,0.07272927,0.0076318886,-0.1242685,-0.108683184,-0.1160674,-0.13148971,7.410666e-05,0.07456167,0.005991022,0.04950711,-0.046794064,0.049320396,-0.09452547,0.025241835,-0.07090236,-0.081119,0.0015980128,0.0047447085,0.030352123,-0.0018794226,-0.017118188,-0.026348308,-0.020143228,-0.034773767,0.045290597,0.030763093,0.0013458349,-0.0049871462,0.00094693375,0.007599846,0.035899032,-0.001666427,-0.019791175,-0.04523934,0.02291926,-0.0032476892,0.004538367,-0.012545008,-0.0076658344,-0.028717179,-0.0068305153,0.022601197,0.023645459,0.027052918,0.04814062,0.010517905,-0.0153618185,-0.0014689034,0.014536716,0.014427303,0.029173158,-0.0013569033,-0.008692395,0.030766912,0.029306876,0.01025758,0.015991213
-IC7qtfhFSw,Sadak,Emiway Bantai,Unknown,https://i.ytimg.com/vi/-IC7qtfhFSw/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lNjPc80PRQQ60fAkLjPctDkE6VRg,17.235291098182564,153.0,2017.0,14,0.0,0.0,2,2,249,[],-0.21076854,0.05343357,-0.002856979,0.07179565,0.3173338,0.16706528,0.10020043,0.14756547,0.022223165,-0.051993065,-0.113944426,-0.007259146,-0.116705686,0.011372464,-0.06557897,0.00562225,-2.4333738e-05,-0.024769615,0.049039513,-0.04991412,0.014970935,-0.019813916,-0.06981259,-0.06951932,-0.0134247225,0.005239532,-0.012555198,-0.045637652,-0.0030687605,0.0012409398,-0.0014521133,0.010288873,0.008627058,0.0063801752,-0.05598006,-0.023534765,-0.00035000988,-0.050716795,-0.043588366,-0.033654843,-0.014109786,-0.018145641,-0.036286034,-0.01012851,0.00085145474,0.0029221587,0.02298552,-0.014505806,-0.029558098,0.0040402967,-0.053034153,0.006862665,-0.0069944253,-0.015135843,0.0058023618,-0.007739614,-0.058441248,0.031763192,-0.02981532,-0.0017030768,-0.011172321,0.005498098,0.038984627,0.022780685
9Wsi7YTI2nY,Jungli Sher,DIVINE,Unknown,https://i.ytimg.com/vi/9Wsi7YTI2nY/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kLx4yzBwliZTWAm5K4P4ektcr9lA,17.074478562302502,202.0,2016.0,5,0.0,0.0,2,2,249,[],-0.24226141,-0.11736912,0.0063417233,0.09539468,-0.0464895,-0.03949242,0.14768781,0.069849856,-0.098491974,0.08364669,0.04840335,-0.058463756,0.1072492,0.054667555,-0.06940734,-0.005273511,-0.0022799934,-0.07164544,-0.012479938,-0.025183678,0.020485813,-0.099853896,-0.09920966,-0.0106779495,-0.13832961,-0.07343448,-0.036196142,-0.039082617,-0.027829854,-0.00082038663,0.04228145,0.009517493,0.0021320458,-0.017186513,0.043504227,0.07625581,0.05015928,0.009756809,0.017719962,-0.0543747,0.012175189,0.093361884,0.06651046,-0.028530978,-0.081700794,0.017838012,-0.012541365,0.020417867,-0.014998647,-0.024734356,0.047891166,0.006211109,0.009194723,0.007041338,0.020216478,0.061014153,0.016988657,0.045593746,0.011161231,-0.019883834,-0.0010041123,0.04329045,-0.009365227,-0.05111235
qcoLCzhLZsI,Kadak Ban,Emiway Bantai,Unknown,https://i.ytimg.com/vi/qcoLCzhLZsI/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3n8cNSVw6f1BdT6dy2hUgq5ARjoJA,17.779376149891434,184.0,2018.0,14,0.0,0.0,2,2,249,[],-0.15792999,0.034761906,-0.044325206,0.04964234,0.3192519,0.107525416,0.04011454,0.13140918,0.008530159,-0.083344385,-0.1157723,-0.025434613,-0.16504546,-0.019081816,0.013283051,0.0067675756,0.016392302,-0.003890554,0.015986089,-0.08291517,0.03445717,-0.06038433,-0.065686226,-0.011161204,0.017212665,0.068828635,0.008551821,-0.002473542,-0.036097024,-0.02752059,-0.02087666,0.031519234,0.06897553,0.038841363,-0.070700094,-0.054604523,-0.0399079,0.04018276,-0.059273336,-0.018392267,-0.055933397,0.065147884,-0.0031815676,0.0077482923,0.02950932,0.028432205,0.017025687,0.0040022884,0.002127303,0.050204355,0.036673106,0.043374818,0.025965454,0.022950223,0.03587636,0.027335672,-0.056959055,0.04816341,0.066343956,-0.0010247373,-0.018833699,-0.00534683,-0.03522821,0.007659309
